Player,Pick #,RPG,APG,SPG,BPG,PPG,SOS,TS%,FTr,Height,Weight,Age,All-NBA 
Bryant Reeves,6,9.5,0.8,0.5,1.6,21.5,10.27,.622,.629,84,275,22,0
Damon Stoudamire,7,4.3,7.3,1.7,0.0,22.8,10.39,.634,.333,70,171,22,0
Shawn Respert,8,4.0,3.0,1.4,0.0,25.6,7.88,.639,.331,73,195,23,0
Ed O'Bannon,9,8.3,2.5,1.9,0.8,20.4,10.07,.625,.341,80,222,23,0
Kurt Thomas,10,14.6,1.2,1.9,2.4,28.9,-1.07,.591,.538,81,230,23,0
Gary Trent,11,12.8,2.4,0.6,0.8,22.9,3.58,.559,.457,80,250,21,0
Cherokee Parks,12,9.3,1.5,0.8,1.8,19.0,11.89,.574,.332,83,235,23,0
Corliss Williamson,13,7.5,2.3,1.7,0.8,19.7,10.45,.584,.590,79,245,22,0
Eric Williams,14,6.7,2.5,2.0,0.3,17.7,7.55,.494,.438,80,220,23,0
Brent Barry,15,5.9,3.9,2.7,0.4,21.0,10.44,.644,.528,78,185,24,0
Alan Henderson,16,9.7,1.7,1.4,2.1,23.5,9.05,.612,.527,81,235,23,0
Bob Sura,17,6.9,5.4,1.8,0.2,18.6,12.49,.525,.455,77,200,22,0
Theo Ratliff,18,7.5,1.1,0.6,5.1,14.4,6.89,.573,.621,82,225,22,0
Randolph Childress,19,3.6,5.2,1.5,0.2,20.1,10.83,.616,.529,74,188,23,0
Jason Caffey,20,8.0,1.6,0.6,0.5,12.1,6.59,.521,.498,80,255,22,0
Allen Iverson,1,3.8,4.7,3.4,0.4,25.0,9.83,.578,.488,72,165,21,1
Marcus Camby,2,8.2,1.8,1.0,3.9,20.5,8.92,.521,.434,83,220,22,0
Shareef Abdur-Rahim,3,8.4,1.0,1.9,1.3,21.1,6.44,.571,.626,81,225,20,0
Stephon Marbury,4,3.1,4.5,1.8,0.1,18.9,12.71,.574,.319,74,180,19,1
Ray Allen,5,6.5,3.3,1.7,0.5,23.4,8.19,.595,.238,77,205,21,1
Antoine Walker,6,8.4,2.9,1.7,0.7,15.2,10.06,.494,.264,80,224,20,0
Lorenzen Wright,7,10.4,1.2,1.3,2.0,17.4,6.58,.566,.442,83,225,21,0
Kerry Kittles,8,7.1,3.5,2.4,0.4,20.4,11.46,.564,.305,77,179,22,0
Samaki Walker,9,7.5,1.1,0.8,2.0,15.1,9.84,.609,.551,81,240,20,0
Erick Dampier,10,9.3,2.3,0.5,3.1,14.5,8.72,.568,.480,83,265,21,0
Todd Fuller,11,9.9,1.3,0.3,1.8,20.9,7.98,.586,.515,83,255,22,0
Vitaly Potapenko,12,7.4,1.4,0.4,0.7,20.7,-0.49,.638,.601,82,280,21,0
Steve Nash,15,3.6,6.0,1.3,0.0,17.0,4.09,.566,.297,75,195,22,1
Tony Delk,16,4.2,1.8,1.9,0.4,17.8,10.06,.619,.237,73,189,22,0
John Wallace,18,8.7,2.4,1.2,1.7,22.2,11.35,.573,.486,80,225,22,0
Walter McCarty,19,5.7,2.6,1.2,1.4,11.3,10.06,.618,.371,82,230,22,0
Tim Duncan,1,14.7,3.2,0.7,3.3,20.8,10.53,.629,.699,83,248,21,1
Keith Van Horn,2,9.5,1.4,0.7,1.2,22.0,5.44,.604,.331,82,220,22,0
Chauncey Billups,3,4.9,4.8,2.1,0.1,19.1,6.24,.596,.560,75,202,21,1
Antonio Daniels,4,2.8,6.8,2.3,0.3,24.0,1.56,.628,.414,76,195,22,0
Tony Battie,5,11.8,0.8,0.9,2.5,18.8,6.72,.606,.458,83,230,21,0
Ron Mercer,6,5.3,2.4,1.7,0.3,18.1,9.20,.555,.174,79,210,21,0
Tim Thomas,7,6.0,2.1,1.8,1.0,16.9,9.45,.555,.365,82,230,20,0
Adonal Foyle,8,13.1,1.9,0.7,6.4,24.4,-6.42,.555,.533,82,250,22,0
Danny Fortson,10,9.1,1.1,0.6,0.5,21.3,5.44,.669,.717,79,260,21,0
Tariq Abdul-Wahad,11,8.8,1.1,1.5,0.7,23.8,4.15,.563,.429,78,223,23,0
Austin Croshere,12,7.5,1.5,1.1,0.7,17.9,8.32,.598,.466,81,235,22,0
Derek Anderson,13,4.1,3.5,1.9,0.1,17.7,9.20,.621,.420,77,194,23,0
Maurice Taylor,14,6.2,1.1,0.7,0.9,12.3,10.53,.543,.343,81,260,21,0
Kelvin Cato,15,8.4,0.5,0.9,4.2,11.3,6.30,.431,.360,83,255,23,0
Brevin Knight,16,3.7,7.8,2.8,0.1,16.3,9.05,.561,.584,70,173,22,0
Johnny Taylor,17,7.3,2.1,1.2,0.8,16.5,-5.21,.548,.420,81,220,23,0
Scot Pollard,19,8.3,0.7,1.3,2.6,10.3,7.94,.589,.787,83,265,22,0
Paul Grant,20,5.2,0.8,0.5,1.2,12.5,9.41,.543,.494,84,245,23,0
Michael Olowokandi,1,11.2,0.8,0.3,2.9,22.2,-0.56,.591,.462,84,269,23,0
Mike Bibby,2,3.0,5.7,2.4,0.2,17.2,8.38,.582,.318,73,190,20,0
Raef LaFrentz,3,11.4,1.0,0.9,1.5,19.8,6.54,.592,.388,83,240,22,0
Antawn Jamison,4,10.5,0.8,0.8,0.8,22.2,10.38,.607,.505,81,222,22,0
Vince Carter,5,5.1,1.9,1.2,0.9,15.6,10.38,.659,.388,79,215,21,1
Robert Traylor,6,10.1,2.6,1.3,1.4,16.2,9.64,.595,.419,80,284,21,0
Jason Williams,7,3.0,6.7,2.7,0.2,17.1,6.42,.589,.295,73,190,23,0
Larry Hughes,8,5.1,2.4,2.2,0.4,20.9,5.51,.505,.481,77,184,19,0
Paul Pierce,10,6.7,2.6,1.1,1.1,20.4,6.54,.585,.395,78,230,21,1
Bonzi Wells,11,6.3,3.3,3.6,0.7,22.8,0.68,.573,.397,77,210,22,0
Michael Doleac,12,7.1,0.5,0.4,1.0,16.1,4.87,.586,.636,83,262,21,0
Keon Clark,13,3.0,1.9,0.2,2.6,14.8,5.31,.590,.433,83,220,23,0
Michael Dickerson,14,4.5,1.8,1.1,0.2,18.0,8.38,.594,.254,77,190,23,0
Matt Harpring,15,9.4,2.6,1.4,0.2,21.6,8.70,.567,.438,79,231,22,0
Bryce Drew,16,4.2,5.0,1.7,0.1,19.8,-2.66,.585,.281,74,185,24,0
Pat Garrity,19,8.3,2.4,0.6,0.6,23.2,6.28,.574,.476,81,238,22,0
